card_id,name,last_name,phone,committee_leader,city_program_id,user_id
746432279,Federico,Manzano,3114567890,1,1,31
916863651,Jose Luis,Capdevila,3009876543,0,2,32
62233422,Erasmo,Mena,3151122334,0,4,33
66265691,Ani,Soto,3217654321,1,5,34
977215273,Alonso,Posada,3209988776,1,6,35
887560262,Elba,Ugarte,3042233445,1,7,36
362541669,Sonia,Huguet,3184455667,0,8,37
325837431,Nacio,Pedraza,3135566778,0,9,38
842129420,Paula,Cervera,3016677889,1,11,39
701870010,Walter,Manuel,3167788990,0,12,40
232314413,Emelina,Vilanova,3123344556,1,13,41
470792166,Remigio,Garcia,3194455667,0,14,42
500542580,Patricio,Pazos,3001234567,0,15,43
369787487,Visitacion,Olmedo,3149988776,1,17,44
836334865,Kike,Marquez,3108765432,1,18,45
906587768,Maria Belen,Tejedor,3041122334,1,19,46
215468777,Evaristo,Luz,3053344556,1,20,47
807024748,Ignacia,Rozas,3211122334,0,21,48
541174621,Guadalupe,Sabater,3112233445,1,22,49
259970979,Octavio,Llopis,3175566778,0,23,50
1077123456,Alvaro,Pena,3123344556,1,24,51
1077987654,Sandra,Vargas,3194455667,1,25,52
1077654321,Diego,Leon,3001234567,0,26,53
1077765432,Karla,Cardenas,3149988776,1,27,54
1077876543,Jorge,Nino,3108765432,0,28,55
1077432198,Monica,Perez,3041122334,1,3,56
1077321654,Ricardo,Molina,3053344556,1,6,57
1077543287,Natalia,Duarte,3211122334,1,4,58
1077765431,Wilson,Ramirez,3112233445,0,11,59
1077987213,Paola,Fuentes,3175566778,0,5,60
63488159,Luis,Martinez,3003344556,1,3,76
43789126,Patricia,Gomez,3014455667,0,4,77
79845612,Ricardo,Leon,3006677889,0,1,78
303901283,Carolina,Diaz,3418587604,0,2,119
165452690,Veronica,Ospina,3903132646,0,2,120
639931481,Veronica,Cardona,3670292350,1,17,121
173574218,Sara,Castro,3738914080,1,28,122
228727266,Laura,Arias,3711684318,0,20,123
188029013,Juan,Campos,3550139320,0,19,124
379995032,Karen,Rojas,3319321646,0,11,125
524971817,Laura,Salazar,3240529481,0,10,126
907308348,Monica,Rojas,3177892576,1,20,127
178663096,Hector,Perez,3677280546,0,9,128
173864104,Sebastian,Mejia,3362298393,0,6,129
855420240,Gabriel,Ospina,3424825305,0,26,130
817112652,Karen,Gomez,3977358886,0,22,131
383968123,Felipe,Torres,3223940587,0,24,132
392431670,Lorena,Diaz,3402533494,0,23,133
838194420,Angela,Herrera,3781007818,0,17,134
154544899,Carolina,Salazar,3199104722,0,27,135
103807155,Karla,Martinez,3458153605,0,21,136
895890631,Mateo,Vargas,3574417266,0,14,137
220123666,Lorena,Gomez,3180792472,0,23,138
138684919,Paula,Ospina,3996139578,0,18,139
236843584,Paula,Silva,3144913399,0,26,140
325567963,Juan,Mejia,3832363533,0,4,141
536344399,Oscar,Barrera,3766430218,0,8,142
542697755,Alejandro,Castro,3126614158,1,11,143
386480450,Diego,Orozco,3270937380,0,4,144
605399561,Carlos,Martinez,3338836384,1,15,145
981044229,Oscar,Valencia,3953995721,0,8,146
527849588,Camila,Ruiz,3452468587,0,3,147
788785773,Karla,Mejia,3646970178,0,27,148
129635852,Samuel,Suarez,3223847257,0,9,149
385042337,Lucia,Mora,3141078352,1,14,150
568574364,Oscar,Rojas,3750911797,0,4,151
